SEAT,Leon,2019,26450,5,5,5,Diesel,115cv,1598,Manual,ACManual,Usados,18900
Fiat,Punto,2006,232000,5,5,5,Diesel,75cv,1496,Manual,ACAutomático,Usados,2490
Mitsubishi,Pajero,1998,140000,3,5,5,Gasolina,200cv,1600,Manual,ACManual,Usados,22000
SEAT,Ibiza,2017,59100,5,5,5,Gasolina,95cv,1461,Manual,ACIndependente,Usados,13400
Smart,ForTwo,2001,161000,2,2,6,Diesel,41cv,1364,Manual,ACAutomático,Usados,2999
Citroën,C3,2005,258650,5,5,5,Diesel,70cv,1686,Manual,ACIndependente,Usados,2690
VW,Polo,2005,149850,5,5,5,Gasolina,75cv,1199,Manual,ACAutomático,Usados,3150
Peugeot,308SW,2016,140000,5,5,7,Diesel,120cv,2143,Automática,ACAutomático,Usados,15500
Triumph,TR6,1969,45000,3,5,5,Gasolina,140cv,3000,Manual,ACAutomático,Usados,29500
SEAT,Leon,2014,88000,2,4,7,Gasolina,280cv,1600,Manual,ACIndependente,Usados,25900
Mercedes-Benz,CLA180,2016,94000,3,4,6,Diesel,109cv,1560,Manual,ACAutomático,Usados,23800
AlfaRomeo,MiTo,2014,144000,5,5,5,Diesel,85cv,1199,Manual,ACAutomático,Usados,9990
Audi,A5Cabrio,2018,20000,4,5,6,Diesel,190cv,1461,Manual,ACAutomático,Usados,42500
MINI,Cooper,2018,15000,4,5,5,Diesel,116cv,1000,Manual,ACAutomático,Usados,21900
Nissan,Qashqai,2017,98000,5,5,6,Diesel,110cv,1598,Manual,ACAutomático,Usados,17950
Mercedes-Benz,C220,1995,326000,5,5,5,Diesel,110cv,1500,Manual,ACManual,Usados,1699
Audi,A3Limousine,2016,149991,3,4,5,Diesel,110cv,1968,Automática,ACAutomático,Usados,17950
AlfaRomeo,147,2002,278960,5,5,6,Diesel,115cv,492,Manual,ACManual,Usados,2990
Renault,MéganeSportTourer,2016,139991,5,5,5,Diesel,110cv,400,Manual,ACAutomático,Usados,10450
Fiat,500,2016,78991,5,5,7,Gasolina,69cv,505,Manual,ACManual,Usados,9450
