,Car_ID,Brand,Model,Year,Km,Doors,Seats,TransmissionNr,Fuel,Power,Cylinder Engine,Transmission,AC,Condition,Price
148,1130,VW,Polo,2009,116000,5,5,8,Gasolina,70cv,1598,Manual,ACManual,Usados,4750
149,1131,Renault,Scénic,2020,1000,5,5,6,Diesel,120cv,1991,Automática,ACManual,Usados,28490
150,1132,Peugeot,207,2007,191000,3,5,9,Diesel,110cv,1995,Manual,ACManual,Usados,6100
151,1133,Audi,A3,2011,154000,4,5,9,Diesel,105cv,1500,Manual,ACManual,Usados,10500
152,1134,Porsche,PanameraSportTurismo,2017,34000,5,5,6,Híbrido(Gasolina),462cv,1598,Manual,ACManual,Usados,99000
153,1135,Mercedes-Benz,CLA180,2016,126000,5,5,6,Diesel,109cv,1598,Manual,ACManual,Usados,23500
154,1136,Mercedes-Benz,C220,2018,15000,4,5,5,Diesel,194cv,1598,Manual,ACManual,Usados,37900
155,1137,Mercedes-Benz,C220,2018,28000,5,5,6,Diesel,194cv,4000,Manual,ACIndependente,Usados,40900
156,1138,Opel,Corsa,2017,107458,5,5,5,Diesel,95cv,1496,Manual,ACAutomático,Usados,9750
157,1139,Fiat,TipoStationWagon,2019,54537,5,5,5,Diesel,95cv,1600,Manual,ACManual,Usados,13750
158,114,Tesla,ModelX,2017,60650,5,5,6,Eléctrico,525cv,1968,Automática,ACAutomático,Usados,76890
159,1140,SEAT,Ibiza,2018,34853,5,5,5,Gasolina,75cv,1461,Manual,ACIndependente,Usados,11250
160,1141,Nissan,Note,2008,164500,5,5,5,Diesel,85cv,1364,Manual,ACAutomático,Usados,4450
161,1142,MINI,Countryman,2018,45890,5,5,6,Diesel,116cv,1686,Manual,ACIndependente,Usados,24900
162,1143,BMW,320,2009,243000,4,5,6,Diesel,177cv,1199,Manual,ACAutomático,Usados,12250
163,1144,Toyota,HiAce,2009,154851,4,9,5,Diesel,70cv,2143,Automática,ACAutomático,Usados,13500
164,1145,Mercedes-Benz,A180,2014,160000,5,5,6,Diesel,109cv,3000,Manual,ACAutomático,Usados,16500
165,1146,Peugeot,iOn,2013,93000,5,5,6,Eléctrico,67cv,1600,Manual,ACIndependente,Usados,6400
166,1147,VW,Golf,2006,180000,5,5,5,Diesel,140cv,1560,Manual,ACAutomático,Usados,7750
167,1148,Mercedes-Benz,C300,2016,73000,5,5,6,Híbrido(Diesel),231cv,1199,Manual,ACAutomático,Usados,29990
168,1149,Audi,A3Sportback,2015,90000,5,5,7,Híbrido(Gasolina),204cv,1461,Manual,ACAutomático,Usados,21750
169,115,Ford,EcoSport,2017,95000,5,5,5,Gasolina,125cv,492,Manual,ACManual,Usados,13250
170,1150,Renault,MéganeSportTourer,2017,49000,5,5,6,Diesel,110cv,1000,Manual,ACAutomático,Usados,16400
171,1151,Mercedes-Benz,E220,2019,11000,5,5,6,Diesel,194cv,1598,Manual,ACAutomático,Usados,47800
172,1152,VW,Polo,2016,95000,5,6,6,Gasolina,192cv,1500,Manual,ACManual,Usados,22900
173,1153,Renault,MéganeSportTourer,2018,70000,5,5,6,Diesel,115cv,1968,Automática,ACAutomático,Usados,18900
174,1154,Renault,Kadjar,2018,52000,5,9,7,Diesel,110cv,492,Manual,ACManual,Usados,19999
175,1155,Citroën,C3,2009,179100,4,4,6,Diesel,70cv,400,Manual,ACAutomático,Usados,5580
176,1156,Toyota,C-HR,2018,19143,5,5,6,Híbrido(Gasolina),122cv,505,Manual,ACManual,Usados,22700
177,1157,Audi,A1,2012,90000,3,5,5,Diesel,90cv,1496,Manual,ACAutomático,Usados,10950
178,1158,Renault,Mégane,2015,137000,5,5,6,Diesel,110cv,1600,Manual,ACManual,Usados,9990
179,1159,Citroën,C4Cactus,2016,37000,5,5,6,Diesel,100cv,1461,Manual,ACIndependente,Usados,12500
180,116,Toyota,AurisTouringSports,2016,74200,5,5,5,Diesel,90cv,400,Manual,ACAutomático,Usados,14990
181,1160,Audi,A4Avant,1998,266,5,5,7,Diesel,110cv,1364,Manual,ACAutomático,Usados,3555
182,1161,MINI,Clubman,2016,47000,5,5,5,Diesel,150cv,1686,Manual,ACIndependente,Usados,19490
183,1162,Mercedes-Benz,C180,2015,70000,5,5,6,Diesel,116cv,1199,Manual,ACAutomático,Usados,23750
184,1163,Audi,A3Sportback,2015,119000,5,2,7,Diesel,110cv,2143,Automática,ACAutomático,Usados,15650
185,1164,Peugeot,308SW,2016,174980,2,4,7,Diesel,120cv,3000,Manual,ACAutomático,Usados,11950
186,1165,BMW,116,2015,71400,3,5,7,Diesel,116cv,1600,Manual,ACIndependente,Usados,19350
187,1166,BMW,Z3,1997,167000,5,5,7,Gasolina,140cv,1560,Manual,ACAutomático,Usados,9980
188,1167,MINI,One,2017,51670,5,5,6,Diesel,95cv,1199,Manual,ACAutomático,Usados,16550
189,1168,Mercedes-Benz,CLA180,2016,103800,4,4,6,Diesel,116cv,1461,Manual,ACAutomático,Usados,21350
190,1169,Mercedes-Benz,C200,2018,55700,2,4,5,Diesel,136cv,1000,Manual,ACAutomático,Usados,29900
191,117,Renault,MéganeSportTourer,2015,148844,5,5,5,Diesel,110cv,505,Manual,ACManual,Usados,11990
192,1170,Jaguar,XE,2016,67200,2,5,6,Diesel,180cv,1598,Manual,ACAutomático,Usados,28450
193,1171,Audi,A5Cabrio,2016,91000,5,5,6,Diesel,150cv,1500,Manual,ACManual,Usados,34900
194,1172,Audi,A5,2012,120000,5,5,7,Gasolina,211cv,1968,Automática,ACAutomático,Usados,27850
195,1173,Mercedes-Benz,CLA180,2015,140000,3,5,8,Diesel,130cv,492,Manual,ACManual,Usados,22000
196,1174,BMW,520,2017,62000,5,4,6,Diesel,190cv,400,Manual,ACAutomático,Usados,33990
197,1175,Hyundai,i30,2015,32000,4,5,6,Diesel,90cv,505,Manual,ACManual,Usados,12800
198,1176,Mercedes-Benz,GLA200,2014,60000,2,5,5,Diesel,136cv,523,Manual,ACManual,Usados,28990
199,1177,Renault,Twingo,2017,28000,5,5,5,Gasolina,70cv,1598,Manual,ACManual,Usados,7999
200,1178,BMW,120,2009,245000,5,5,5,Diesel,163cv,1991,Automática,ACManual,Usados,13900
201,1179,Audi,A4Avant,2015,184000,5,5,5,Diesel,177cv,1995,Manual,ACManual,Usados,17490
202,118,Renault,Scénic,2015,106365,5,5,6,Diesel,110cv,523,Manual,ACManual,Usados,11990
203,1180,Mercedes-Benz,C350,2017,98000,5,4,5,Híbrido(Gasolina),279cv,1500,Manual,ACManual,Usados,35600
204,1181,SEAT,Ibiza,2009,116000,5,5,6,Gasolina,70cv,1496,Manual,ACAutomático,Usados,4500
205,1182,Mercedes-Benz,C250,2014,190000,5,5,6,Diesel,204cv,1600,Manual,ACManual,Usados,22000
206,1183,VW,Golf,2013,144000,5,5,5,Diesel,150cv,1461,Manual,ACIndependente,Usados,20499
207,1184,Renault,Clio,2002,200000,3,4,5,Gasolina,75cv,1364,Manual,ACAutomático,Usados,1499
208,1185,Fiat,500,2011,136500,5,7,6,Gasolina,75cv,1686,Manual,ACIndependente,Usados,7000
209,1186,VW,Lupo,1999,84000,5,4,7,Gasolina,65cv,1199,Manual,ACAutomático,Usados,1999
210,1187,Peugeot,508SW,2014,151000,3,5,6,Diesel,120cv,2143,Automática,ACAutomático,Usados,12500
211,1188,Opel,Zafira,2017,59100,5,2,5,Gasolina,140cv,3000,Manual,ACAutomático,Usados,20000
212,1189,VW,Scirocco,2009,99000,2,2,5,Gasolina,160cv,1600,Manual,ACIndependente,Usados,14450
213,119,BMW,318,2015,68150,5,5,6,Diesel,143cv,1598,Manual,ACManual,Usados,20990
214,1190,Peugeot,508RXH,2013,195000,2,7,6,Híbrido(Diesel),200cv,1560,Manual,ACAutomático,Usados,14950
215,1191,Audi,A4Avant,2013,117000,5,6,5,Diesel,177cv,1199,Manual,ACAutomático,Usados,20500
216,1192,Smart,ForTwo,2013,56500,3,5,9,Diesel,54cv,1461,Manual,ACAutomático,Usados,7900
217,1193,Smart,ForTwo,2013,67900,5,4,6,Diesel,54cv,1000,Manual,ACAutomático,Usados,7900
218,1194,Ford,S-Max,2008,126000,5,4,6,Diesel,125cv,1598,Manual,ACAutomático,Usados,7490
219,1195,LandRover,Defender,2000,170000,3,5,6,Diesel,125cv,1500,Manual,ACManual,Usados,28500
220,1196,Mercedes-Benz,E220,2016,186823,5,5,9,Diesel,194cv,1968,Automática,ACAutomático,Usados,30799
221,1197,Opel,AstraSportsTourer,2014,127551,5,5,6,Diesel,136cv,492,Manual,ACManual,Usados,9000
222,1198,MINI,JohnCooperWorks,2015,85200,5,5,5,Gasolina,231cv,400,Manual,ACAutomático,Usados,29450
223,1199,Audi,A1,2015,108308,3,4,9,Diesel,90cv,505,Manual,ACManual,Usados,15900
224,12,Audi,A3Sportback,2010,120000,5,5,6,Diesel,105cv,1598,Manual,ACAutomático,Usados,10990
225,120,Renault,Clio,2017,76232,5,5,5,Gasolina,90cv,1991,Automática,ACManual,Usados,10990
226,1200,Renault,Captur,2018,48000,5,5,8,Diesel,90cv,523,Manual,ACManual,Usados,16900
227,1201,Mercedes-Benz,CLS350,2015,93000,3,5,6,Diesel,258cv,1598,Manual,ACManual,Usados,41900
228,1202,MINI,Cooper,2006,215200,3,5,7,Diesel,143cv,1991,Automática,ACManual,Usados,7000
229,1203,Renault,Mégane,2020,10,5,5,6,Diesel,115cv,1995,Manual,ACManual,Usados,25300
230,1204,VW,Polo,2015,200000,5,5,7,Diesel,90cv,1496,Manual,ACAutomático,Usados,9499
231,1205,Fiat,500C,2015,57800,3,4,5,Gasolina,69cv,1600,Manual,ACManual,Usados,9500
232,1206,VW,Up!,2016,80000,3,4,5,Gasolina,60cv,1461,Manual,ACIndependente,Usados,6599
233,1207,Citroën,C4,2011,240000,5,5,5,Diesel,110cv,1364,Manual,ACAutomático,Usados,6790
234,1208,Toyota,AurisTouringSports,2017,22000,5,5,6,Diesel,112cv,1686,Manual,ACIndependente,Usados,18799
235,1209,Opel,Zafira,2014,147513,5,7,6,Diesel,165cv,1199,Manual,ACAutomático,Usados,15900
236,121,Fiat,500C,2013,81818,3,5,6,Gasolina,69cv,1995,Manual,ACManual,Usados,9950
237,1210,Renault,GrandEspace,2007,244321,5,7,6,Diesel,175cv,2143,Automática,ACAutomático,Usados,7900
238,1211,BMW,318,2015,169322,4,5,6,Diesel,143cv,3000,Manual,ACAutomático,Usados,18900
239,1212,BMW,i3,2017,33251,5,4,6,Eléctrico,170cv,1600,Manual,ACIndependente,Usados,30900
240,1213,Skoda,OctaviaBreak,2008,191000,5,5,5,Diesel,170cv,1560,Manual,ACAutomático,Usados,8790
241,1214,Citroën,C3Picasso,2009,205000,5,5,6,Diesel,110cv,1199,Manual,ACAutomático,Usados,4999
242,1215,Mercedes-Benz,R350,2011,133765,5,7,5,Diesel,265cv,1461,Manual,ACAutomático,Usados,27500
243,1216,VW,Polo,2017,42434,5,5,6,Gasolina,75cv,1000,Manual,ACAutomático,Usados,12000
