Renault,Mégane,2014,120000,5,5,5,Diesel,110cv,3000,Manual,ACAutomático,Usados,9980
Mercedes-Benz,C250,2012,142000,4,5,6,Diesel,204cv,1600,Manual,ACIndependente,Usados,18980
Citroën,C3Picasso,2010,98000,5,5,5,Diesel,92cv,1560,Manual,ACAutomático,Usados,8850
VW,GolfVariant,2015,99939,5,5,5,Diesel,110cv,1199,Manual,ACAutomático,Usados,12980
Mercedes-Benz,CLK230,1997,82000,2,4,6,Gasolina,193cv,1461,Manual,ACAutomático,Usados,8500
Skoda,Octavia,2010,182000,5,5,6,Diesel,105cv,1000,Manual,ACAutomático,Usados,7980
Volvo,V40,2012,200000,5,5,5,Diesel,150cv,1598,Manual,ACAutomático,Usados,11980
VW,Passat,2015,100000,4,5,6,Diesel,150cv,1500,Manual,ACManual,Usados,16980
Ford,KA,2016,52000,3,4,6,Gasolina,69cv,1968,Automática,ACAutomático,Usados,7780
Jeep,Wrangler,2008,87000,3,2,7,Diesel,177cv,492,Manual,ACManual,Usados,19480
MINI,One,2016,57000,3,4,8,Diesel,95cv,400,Manual,ACAutomático,Usados,15980
Audi,A1,2012,81000,3,4,7,Diesel,90cv,505,Manual,ACManual,Usados,12480
BMW,340,2016,69000,4,5,6,Gasolina,326cv,523,Manual,ACManual,Usados,34980
Mercedes-Benz,CLA45AMG,2016,12000,4,5,6,Gasolina,360cv,1598,Manual,ACManual,Usados,42980
Peugeot,308SW,2016,134000,5,5,5,Diesel,120cv,1991,Automática,ACManual,Usados,14000
Smart,ForTwo,2018,28000,3,2,6,Gasolina,90cv,1995,Manual,ACManual,Usados,12980
Chevrolet,Aveo,2011,35700,5,5,9,Gasolina,85cv,1500,Manual,ACManual,Usados,7500
Volvo,V60,2014,117000,5,5,6,Híbrido(Diesel),286cv,1598,Manual,ACManual,Usados,19500
Mercedes-Benz,C220,2018,15000,4,5,6,Diesel,170cv,1598,Manual,ACManual,Usados,34900
Mercedes-Benz,GLA200,2016,83000,5,5,9,Diesel,136cv,1598,Manual,ACManual,Usados,26900
Audi,TT,2015,64000,3,4,9,Diesel,184cv,4000,Manual,ACIndependente,Usados,33900
Mercedes-Benz,C200,2018,11000,5,5,6,Gasolina,184cv,1400,Automática,ACIndependente,Usados,35500
Mercedes-Benz,E220,2018,20000,2,4,9,Diesel,194cv,1598,Manual,ACIndependente,Usados,48500
Mercedes-Benz,C200,2019,1400,4,5,9,Gasolina,184cv,1496,Manual,ACAutomático,Usados,35500
Mercedes-Benz,A200,2016,76000,5,5,7,Diesel,136cv,1600,Manual,ACManual,Usados,27000
Chatenet,CH26,2017,13125,3,2,6,Diesel,5cv,1461,Manual,ACIndependente,Usados,10750
BMW,X1,2010,229000,5,5,9,Diesel,177cv,1364,Manual,ACAutomático,Usados,18490
Mercedes-Benz,C200,2019,1400,4,5,9,Gasolina,184cv,1686,Manual,ACIndependente,Usados,35500
Mercedes-Benz,E220,2017,25000,4,5,7,Diesel,194cv,1199,Manual,ACAutomático,Usados,37000
Mercedes-Benz,A45AMG,2016,50000,5,5,7,Gasolina,381cv,2143,Automática,ACAutomático,Usados,42000
Mercedes-Benz,A45AMG,2016,47500,5,5,5,Gasolina,384cv,3000,Manual,ACAutomático,Usados,41900
Jaguar,XK,2000,160000,2,5,6,Gasolina,400cv,1600,Manual,ACIndependente,Usados,38750
Mercedes-Benz,CLA200,2015,90000,5,2,5,Diesel,156cv,1560,Manual,ACAutomático,Usados,25000
Nissan,Leaf,2019,64213,3,5,6,Eléctrico,150cv,1199,Manual,ACAutomático,Usados,23450
Smart,ForTwo,2009,82000,5,5,6,Gasolina,84cv,1461,Manual,ACAutomático,Usados,4850
Mercedes-Benz,C180,2019,17900,5,5,5,Diesel,122cv,1000,Manual,ACAutomático,Usados,36590
Mercedes-Benz,CLA200,2015,135000,3,5,5,Diesel,136cv,1598,Manual,ACAutomático,Usados,22890
Renault,Clio,1991,127000,3,5,7,Gasolina,80cv,1500,Manual,ACManual,Usados,2950
Mercedes-Benz,CL600,2000,165000,5,5,5,Gasolina,370cv,1968,Automática,ACAutomático,Usados,25000
Ford,Fiesta,2019,9470,5,5,6,Gasolina,100cv,492,Manual,ACManual,Usados,15500
Renault,ClioSportTourer,2019,4900,5,4,6,Gasolina,90cv,400,Manual,ACAutomático,Usados,12990
Mercedes-Benz,A160,2020,4780,5,5,5,Gasolina,109cv,505,Manual,ACManual,Usados,28490
Renault,Clio,2018,32000,5,7,5,Gasolina,90cv,523,Manual,ACManual,Usados,10490
Citroën,C3,2015,62000,5,5,6,Gasolina,82cv,1598,Manual,ACManual,Usados,8490
Mercedes-Benz,A180,2019,10000,3,5,5,Diesel,116cv,1991,Automática,ACManual,Usados,32490
Toyota,iQ,2010,133000,5,5,6,Gasolina,68cv,1995,Manual,ACManual,Usados,6990
BMW,116,2016,138611,5,4,6,Diesel,116cv,1496,Manual,ACAutomático,Usados,14280
BMW,X5,2016,39900,5,5,8,Diesel,313cv,1600,Manual,ACManual,Usados,64000
Citroën,C-Elysée,2013,53000,4,5,5,Diesel,92cv,1461,Manual,ACIndependente,Usados,8900
BMW,X2,2019,1500,5,5,6,Diesel,116cv,1364,Manual,ACAutomático,Usados,40900
BMW,X4,2019,16900,5,5,6,Diesel,190cv,1686,Manual,ACIndependente,Usados,59950
Volvo,V40,2015,135546,5,5,6,Diesel,115cv,1199,Manual,ACAutomático,Usados,13990
MINI,Clubman,2018,21500,6,5,5,Diesel,116cv,2143,Automática,ACAutomático,Usados,24000
Toyota,Avensis,2015,124000,4,5,6,Diesel,124cv,3000,Manual,ACAutomático,Usados,15900
MINI,Countryman,2019,15000,5,4,6,Diesel,116cv,1600,Manual,ACIndependente,Usados,27900
Peugeot,207,2011,88000,5,7,6,Diesel,68cv,1560,Manual,ACAutomático,Usados,7990
Peugeot,508SW,2012,168000,5,5,5,Diesel,112cv,1199,Manual,ACAutomático,Usados,10499
MINI,Cooper,2014,98800,5,6,5,Diesel,116cv,1461,Manual,ACAutomático,Usados,14900
SEAT,Alhambra,2004,182293,5,5,6,Diesel,130cv,1000,Manual,ACAutomático,Usados,9290
Renault,ClioSportTourer,2016,46359,5,5,6,Diesel,75cv,1598,Manual,ACAutomático,Usados,12990
Renault,Zoe,2014,78400,5,5,6,Eléctrico,88cv,1500,Manual,ACManual,Usados,7700
